domain,keyword,keyword_volume_us,cluster,cluster_total_volume_us,label_length,rdap_status_today,cf_available,cf_price_usd_year1,price_source,recommend,rationale
chemistrygamesapp.com,chemistry games app,260,Chemistry Games for High School - Free Online Learning,10860,17,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.709; superseded within 'chemistry-games-hub' by gamesinchemistry.com (0.805).
chemistrygamesonline.com,chemistry games online,170,Chemistry Games for High School - Free Online Learning,10860,20,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.673; superseded within 'chemistry-games-hub' by gamesinchemistry.com (0.805).
moleculebuildergame.com,molecule builder game,50,Molecule Builder Game - Build Molecules Free,150,19,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.447; superseded within 'molecule-builder' by buildamoleculegame.com (0.453).
chemistryquizgames.com,chemistry quiz games,30,Chemistry Quiz Games - Free Interactive Online,180,18,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.438; superseded within 'chemistry-quiz' by quizchemistry.com (0.838).
chemistryreviewgames.com,chemistry review games,70,Fun Chemistry Review Games for the Classroom,70,20,404,unknown,10.44,verisign-wholesale-estimate,no,"Best in 'classroom-review' group (score 0.425), but that group ranks outside the top 10 on demand."
chemistrygamesforhighschool.com,chemistry games for high school,0,Chemistry Games for High School - Free Online Learning,10860,27,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.400; superseded within 'chemistry-games-hub' by gamesinchemistry.com (0.805).
chemistrybondinggames.com,chemistry bonding games,40,Chemistry Bonding Game - Free Online Practice,40,21,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.372; superseded within 'molecule-builder' by buildamoleculegame.com (0.453).
moleculebuildinggame.com,molecule building game,50,Molecule Building Game - Build & Explore Chemistry,20,20,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.360; superseded within 'molecule-builder' by buildamoleculegame.com (0.453).
moleculemakergame.com,molecule maker game,20,Molecule Building Game - Build & Explore Chemistry,20,17,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.336; superseded within 'molecule-builder' by buildamoleculegame.com (0.453).
chemistrygamesideas.com,chemistry games ideas,10,Chemistry Games Ideas - Printable Classroom Activities,50,19,404,unknown,10.44,verisign-wholesale-estimate,no,"Best in 'printable-ideas' group (score 0.333), but that group ranks outside the top 10 on demand."
chemistryclassroomgames.com,chemistry classroom games,10,Fun Chemistry Review Games for the Classroom,70,23,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.324; superseded within 'classroom-review' by chemistryreviewgames.com (0.425).
classroomchemistrygames.com,classroom chemistry games,10,Fun Chemistry Review Games for the Classroom,70,23,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.324; superseded within 'classroom-review' by chemistryreviewgames.com (0.425).
basicchemistrygames.com,basic chemistry games,10,Simple Chemistry Games - Free for Beginners & Kids,40,19,404,unknown,10.44,verisign-wholesale-estimate,no,"Best in 'beginner' group (score 0.324), but that group ranks outside the top 10 on demand."
simplechemistrygames.com,simple chemistry games,10,Simple Chemistry Games - Free for Beginners & Kids,40,20,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.318; superseded within 'beginner' by basicchemistrygames.com (0.324).
acidsandbasesgame.com,acids and bases game,0,Acids and Bases Game - Titration Simulation Online,320,17,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.311; superseded within 'acids-bases' by acidbasegame.com (0.466).
chemistrygamesprintable.com,chemistry games printable,10,Chemistry Games Ideas - Printable Classroom Activities,50,23,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.310; superseded within 'printable-ideas' by chemistrygamesideas.com (0.333).
printablechemistrygames.com,printable chemistry games,10,Chemistry Games Ideas - Printable Classroom Activities,50,23,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.310; superseded within 'printable-ideas' by chemistrygamesideas.com (0.333).
periodictablegameideas.com,periodic table game ideas,10,Periodic Table Game Ideas for the Classroom,40,22,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.307; superseded within 'periodic-table-quiz' by quizperiodictable.com (0.972).
reactiontypesgame.com,reaction types game,0,Types of Chemical Reactions Game - Virtual Lab,260,17,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.302; superseded within 'reaction-types' by chemistryreactiongames.com (0.552).
bestchemistrygames.com,best chemistry games,10,Best Chemistry Games - Our Top Picks,20,18,404,unknown,10.44,verisign-wholesale-estimate,no,"Best in 'listicle' group (score 0.301), but that group ranks outside the top 10 on demand."
chemistryreviewgamesjeopardy.com,chemistry review games jeopardy,10,Fun Chemistry Review Games for the Classroom,70,28,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.296; superseded within 'classroom-review' by chemistryreviewgames.com (0.425).
apchemistryreviewgames.com,ap chemistry review games,10,Chemistry Review Games Online - Free for Finals,30,22,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.295; superseded within 'classroom-review' by chemistryreviewgames.com (0.425).
chemistrygamesreddit.com,chemistry games reddit,10,Best Chemistry Games - Our Top Picks,20,20,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.290; superseded within 'listicle' by bestchemistrygames.com (0.301).
creativechemistryboardgames.com,creative chemistry board games,10,Chemistry Games Ideas - Printable Classroom Activities,50,27,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.288; superseded within 'printable-ideas' by chemistrygamesideas.com (0.333).
organicchemistrylearninggames.com,organic chemistry learning games,10,Organic Chemistry Games Online - Naming & Learning,40,29,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.268; superseded within 'organic' by organicchemistrygames.com (0.437).
acidsbasesgame.com,acids bases game,0,Acids & Bases Game - Titration Curve Simulation,70,14,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.265; superseded within 'acids-bases' by acidbasegame.com (0.466).
organicchemistryflashcardgame.com,organic chemistry flashcard game,0,Organic Chemistry Flashcards - Reactions Game,450,29,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.258; superseded within 'organic' by organicchemistrygames.com (0.437).
namingorganiccompoundsgame.com,naming organic compounds game,10,Naming Organic Compounds Game - Free Practice,10,26,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.230; superseded within 'organic' by organicchemistrygames.com (0.437).
typesofchemicalreactionsgame.com,types of chemical reactions game,0,Types of Chemical Reactions Game - Free Online,140,28,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.216; superseded within 'reaction-types' by chemistryreactiongames.com (0.552).
chemistrygamesbeginners.com,chemistry games beginners,0,Simple Chemistry Games - Free for Beginners & Kids,40,23,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.192; superseded within 'beginner' by basicchemistrygames.com (0.324).
periodictablegamesstudents.com,periodic table games students,0,Periodic Table Fun Activities & Games for Students,30,26,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.164; superseded within 'periodic-table-quiz' by quizperiodictable.com (0.972).
